type	name	lat	long
3	武蔵野学院大学	35.8671845	139.3864793
3	浦和大学	35.8906	139.712351
3	ものつくり大学	36.115643	139.457336
3	共栄大学	35.996451	139.723507
3	埼玉学園大学	35.857094	139.714146
3	尚美学園大学	35.907486	139.459382
3	人間総合科学大学（蓮田キャンパス）	35.970453	139.657522
3	西武文理大学	35.893641	139.419212
3	十文字学園女子大学	35.799729	139.551103
3	平成国際大学（加須キャンパス）	36.100356	139.642846
3	城西大学（埼玉坂戸キャンパス）	35.931027	139.340283
3	東邦音楽大学（川越キャンパス）	35.897289	139.523649
3	獨協大学	35.839887	139.794383
3	日本工業大学（埼玉キャンパス）	36.0254	139.712872
3	明海大学（坂戸キャンパス）	35.933386	139.3412895
3	埼玉医科大学（毛呂山キャンパス）	35.9378283	139.3050682
3	埼玉工業大学	36.195271	139.238141
3	駿河台大学	35.832506	139.33387
3	聖学院大学	35.937961	139.596284
3	日本栄養大学（坂戸キャンパス）	35.952294	139.409849
3	東都大学（深谷キャンパス）	36.180204	139.298852
3	日本保健医療大学（幸手北キャンパス）	36.072736	139.731244
3	文教大学（越谷キャンパス）	35.905302	139.771521
3	教育テック大学院大学（入間キャンパス）	35.8063774	139.3661826
1	千葉大学（西千葉キャンパス）	35.626247	140.102412
2	千葉県立保健医療大学（幕張キャンパス）	35.652183	140.052001
3	放送大学（本部／千葉学習センター）	35.653283	140.049741
3	千葉科学大学（本部キャンパス）	35.701536	140.846095
3	愛国学園大学	35.666174	140.159423
3	開智国際大学	35.86163	139.988136
3	清和大学	35.376394	139.958965
3	城西国際大学（千葉東金キャンパス）	35.581928	140.391847
3	淑徳大学（千葉キャンパス）	35.574428	140.144189
3	敬愛大学（稲毛キャンパス）	35.63352	140.1036698
3	千葉工業大学（津田沼キャンパス）	35.688847	140.021364
3	千葉商科大学（市川キャンパス）	35.742079	139.906323
3	中央学院大学	35.882758	140.019209
3	麗澤大学	35.832716	139.954119
3	和洋女子大学	35.742348	139.904672
3	国際武道大学	35.160821	140.321049
3	神田外語大学	35.657239	140.044089
3	千葉経済大学	35.62872	140.110305
3	秀明大学	35.771799	140.09949
3	川村学園女子大学（我孫子キャンパス ）	35.874673	140.053149
3	東京情報大学	35.637621	140.203132
3	東京基督教大学	35.789879	140.125595
3	聖徳大学	35.783753	139.904234
3	江戸川大学（駒木キャンパス）	35.876537	139.938739
3	SBC東京医療大学	35.638377	139.926213
3	植草学園大学（千葉若葉キャンパス）	35.634552	140.182441
3	三育学院大学（大多喜キャンパス）	35.241749	140.263661
3	亀田医療大学（横渚キャンパス）	35.102028	140.100042
1	東京大学（本郷地区キャンパス）	35.712677	139.761989
1	東京外国語大学（府中キャンパス）	35.673444	139.519935
1	東京藝術大学（上野キャンパス）	35.719251	139.77225
1	お茶の水女子大学	35.718758	139.732176
1	東京学芸大学	35.705145	139.493345
1	東京農工大学（府中キャンパス）	35.684234	139.481255
1	電気通信大学	35.655653	139.544204
1	一橋大学（国立キャンパス）	35.694403	139.445458
1	政策研究大学院大学	35.663961	139.727284
1	東京海洋大学（品川キャンパス）	35.626839	139.747086
1	東京科学大学（大岡山キャンパス）	35.605123	139.68353
2	東京都立大学（南大沢キャンパス）	35.617166	139.377033
2	東京都立産業技術大学院大学	35.606505	139.749135
3	跡見学園女子大学（文京キャンパス）	35.7181037	139.7351637
3	文京学院大学（本郷キャンパス）	35.717988	139.757283
3	目白大学（新宿キャンパス）	35.71766	139.680981
3	東京成徳大学（東京キャンパス）	35.7571	139.724594
3	東洋学園大学（本郷キャンパス）	35.704668	139.757639
3	帝京平成大学（池袋キャンパス）	35.732878	139.719224
3	青山学院大学（青山キャンパス）	35.660407	139.709517
3	大妻女子大学（千代田キャンパス）	35.691098	139.743213
3	学習院大学（目白キャンパス）	35.719195	139.708198
3	北里大学（白金キャンパス）	35.644758	139.72563
3	共立女子大学（神田一ツ橋キャンパス本館）	35.6933207	139.7572299
3	慶應義塾大学（三田キャンパス）	35.648964	139.742938
3	工学院大学（新宿キャンパス）	35.690582	139.6954
3	國學院大學（渋谷キャンパス）	35.655632	139.711749
3	国士舘大学（世田谷キャンパス）	35.648139	139.653136
3	駒澤大学（駒沢キャンパス）	35.62893	139.658086
3	実践女子大学（日野キャンパス）	35.671396	139.389932
3	芝浦工業大学（豊洲キャンパス）	35.6605332	139.7948506
3	順天堂大学（本郷・お茶の水キャンパス）	35.70213	139.760834
3	上智大学（四谷キャンパス）	35.682982	139.732278
3	昭和医科大学（旗の台キャンパス）	35.608495	139.7035
3	昭和女子大学	35.645414	139.675311
3	昭和薬科大学	35.553674	139.470291
3	女子美術大学（杉並キャンパス）	35.6935095	139.6623465
3	杉野服飾大学（目黒キャンパス）	35.631602	139.715872
3	成城大学	35.642181	139.600316
3	聖心女子大学	35.651546	139.719533
3	清泉女子大学	35.627362	139.728951
3	聖路加国際大学	35.667692	139.775697
3	専修大学（神田キャンパス）	35.696854	139.753963
3	大正大学	35.742442	139.727742
3	大東文化大学（東京板橋キャンパス）	35.782096	139.668472
3	高千穂大学（杉並キャンパス）	35.682813	139.638152
3	拓殖大学（文京キャンパス）	35.715321	139.736216
3	多摩美術大学（上野毛キャンパス）	35.614115	139.63665
3	中央大学（多摩キャンパス）	35.64139	139.405716
3	東海大学（湘南キャンパス）	35.3638487	139.2744515
3	東京医科大学	35.693451	139.712321
3	東京家政大学（板橋キャンパス）	35.755972	139.720599
3	東京家政学院大学（千代田三番町キャンパス）	35.691376	139.742225
3	東京歯科大学（水道橋キャンパス・水道橋校舎本館）	35.701501	139.754917
3	東京慈恵会医科大学（西新橋キャンパス）	35.662466	139.750818
3	東京女子大学	35.709802	139.591373
3	東京女子医科大学（河田町キャンパス）	35.697586	139.72041
3	東京電機大学（東京千住キャンパス）	35.748114	139.806125
3	東京農業大学（世田谷キャンパス）	35.640656	139.632012
3	東京薬科大学	35.63861	139.383946
3	東京理科大学（神楽坂キャンパス）	35.699399	139.741398
3	東邦大学（大森キャンパス）	35.571032	139.725033
3	東洋大学（白山キャンパス）	35.723591	139.749675
3	東京音楽大学（中目黒・代官山キャンパス）	35.646921	139.699572
3	二松學舍大學（九段キャンパス）	35.692331	139.74575
3	日本大学（日本大学会館）	35.691014	139.737574
3	日本医科大学（千駄木キャンパス）	35.721516	139.759186
3	日本歯科大学（東京キャンパス）	35.69781	139.745793
3	日本社会事業大学（清瀬キャンパス）	35.766493	139.507344
3	日本女子大学（目白キャンパス）	35.716912	139.720422
3	日本女子体育大学	35.677272	139.590195
3	日本体育大学（東京・世田谷キャンパス）	35.6218	139.649162
3	ルーテル学院大学	35.688317	139.535183
3	文化学園大学	35.685199	139.694312
3	法政大学（市ケ谷キャンパス）	35.695534	139.741399
3	星薬科大学	35.619282	139.711429
3	武蔵大学（江古田キャンパス）	35.737406	139.667967
3	東京都市大学（世田谷キャンパス）	35.598323	139.651024
3	武蔵野音楽大学（江古田キャンパス）	35.741513	139.671931
3	明治大学（駿河台キャンパス）	35.697242	139.761535
3	明治学院大学（白金キャンパス）	35.637506	139.731305
3	明治薬科大学（清瀬キャンパス）	35.78235	139.505918
3	立教大学（池袋キャンパス）	35.730506	139.704029
3	立正大学（品川キャンパス）	35.620967	139.723338
3	早稲田大学（早稲田キャンパス）	35.708733	139.719649
3	国際仏教学大学院大学	35.711528	139.740954
3	東京国際工科専門職大学	35.6915291	139.6968724
3	東京保健医療専門職大学	35.6647127	139.8132843
3	情報経営イノベーション専門職大学（墨田キャンパス）	35.7112577	139.8236043
3	大学院大学至善館	35.681296	139.774286
3	東京通信大学（新宿駅前キャンパス）	35.691571	139.697084
